date,s_exp,s_min,s_q05,s_q25,s_q75,s_q95,s_max,i_exp,i_q05,i_q25,i_q75,i_q95,prob,prob_gain,prob_pop
2020-01-28,232,140,201,220,245,266,329,0.5208,0.4772,0.5027,0.5381,0.568,0.7883,0.4889,0.7857
2020-02-04,231,143,200,220,244,265,336,0.5202,0.4771,0.5041,0.5378,0.5672,0.7878,0.4751,0.8047
2020-02-11,232,148,203,220,244,264,353,0.5186,0.4782,0.5023,0.5355,0.5628,0.7928,0.4805,0.7863
2020-02-18,232,166,206,221,243,262,308,0.5187,0.4816,0.504,0.5337,0.5614,0.8198,0.4928,0.7997
2020-02-20,233,154,205,222,245,265,328,0.5197,0.4817,0.5043,0.5353,0.5643,0.8222,0.5117,0.8053
2020-02-24,232,160,205,222,243,262,328,0.5196,0.4819,0.5047,0.5348,0.5616,0.8266,0.4966,0.8133
2020-02-28,233,160,206,222,245,266,327,0.5227,0.4847,0.5072,0.5393,0.5683,0.8316,0.5095,0.843
2020-03-03,236,165,210,225,248,268,336,0.5257,0.4881,0.51,0.5428,0.5723,0.8747,0.5801,0.872
2020-03-07,234,156,208,224,246,266,328,0.5236,0.4847,0.5081,0.5402,0.5686,0.8529,0.5449,0.8497
2020-03-11,234,159,206,223,245,267,323,0.5217,0.4835,0.5068,0.537,0.5682,0.8416,0.4623,0.837
2020-03-12,234,150,208,223,244,263,317,0.5224,0.4854,0.5081,0.5381,0.5655,0.8551,0.5277,0.8513
2020-03-13,235,154,208,224,246,265,321,0.5219,0.4845,0.5081,0.538,0.5628,0.8616,0.4882,0.8517
2020-03-15,234,147,207,223,245,264,318,0.5226,0.4845,0.5075,0.5379,0.5648,0.8419,0.4553,0.8417
2020-03-16,236,160,210,225,247,265,319,0.5218,0.486,0.5072,0.5374,0.5653,0.8767,0.5005,0.8427
2020-03-18,235,159,207,224,246,266,332,0.5229,0.4873,0.5084,0.5378,0.5665,0.8544,0.4834,0.8603
2020-03-21,235,172,209,225,247,266,329,0.5221,0.4862,0.508,0.5386,0.5657,0.8709,0.4915,0.851
2020-03-25,234,148,207,223,246,265,324,0.5246,0.488,0.5099,0.5402,0.5681,0.8487,0.4671,0.8797
2020-03-27,235,153,209,225,245,263,324,0.5229,0.4877,0.5089,0.5377,0.5645,0.8734,0.4778,0.8703
2020-04-01,238,168,210,227,249,267,327,0.5294,0.4928,0.5157,0.5444,0.5703,0.8982,0.5521,0.9203
2020-04-08,239,174,216,230,249,265,331,0.5305,0.496,0.5168,0.5444,0.5685,0.9371,0.61,0.928
2020-04-13,238,175,213,228,248,265,310,0.5298,0.4949,0.5165,0.5442,0.5677,0.9133,0.5624,0.9223
